
1963	01	80
1963	02	62
1963	03	133
1963	04	39
1963	05	0
1963	06	0
1963	07	0
1963	08	0
1963	09	0
1963	10	0
1963	11	0
1963	12	41

1964	01	29
1964	02	32
1964	03	147
1964	04	5
1964	05	0
1964	06	0
1964	07	0
1964	08	0
1964	09	0
1964	10	0
1964	11	1
1964	12	63

1965	01	125
1965	02	63
1965	03	170
1965	04	55
1965	05	0
1965	06	0
1965	07	0
1965	08	0
1965	09	0
1965	10	0
1965	11	3
1965	12	28

1966	01	146
1966	02	11
1966	03	45
1966	04	9
1966	05	0
1966	06	0
1966	07	0
1966	08	0
1966	09	0
1966	10	0
1966	11	29
1966	12	119

1967	01	164
1967	02	99
1967	03	40
1967	04	2
1967	05	0
1967	06	0
1967	07	0
1967	08	0
1967	09	0
1967	10	5
1967	11	29
1967	12	37

1968	01	92
1968	02	30
1968	03	6
1968	04	7
1968	05	0
1968	06	0
1968	07	0
1968	08	0
1968	09	0
1968	10	0
1968	11	24
1968	12	267

1969	01	118
1969	02	5
1969	03	22
1969	04	0
1969	05	0
1969	06	0
1969	07	0
1969	08	0
1969	09	0
1969	10	1
1969	11	17
1969	12	165

1970	01	98
1970	02	29
1970	03	88
1970	04	0
1970	05	0
1970	06	0
1970	07	0
1970	08	0
1970	09	0
1970	10	0
1970	11	59
1970	12	107

1971	01	208
1971	02	110
1971	03	148
1971	04	2
1971	05	0
1971	06	0
1971	07	0
1971	08	0
1971	09	0
1971	10	0
1971	11	126

1972	01	82
1972	02	121
1972	03	222
1972	04	23
1972	05	0
1972	06	0
1972	07	0
1972	08	0
1972	09	0
1972	10	0
1972	11	7
1972	12	173

1973	01	68
1973	02	57
1973	03	0
1973	04	56
1973	05	0
1973	06	0
1973	07	0
1973	08	0
1973	09	0
1973	10	0
1973	11	24
1973	12	155

1974	01	44
1974	02	185
1974	03	112
1974	04	20
1974	05	0
1974	06	0
1974	07	0
1974	08	0
1974	09	0
1974	10	0
1974	11	15
1974	12	104

1975	01	86
1975	02	195
1975	03	134
1975	04	0
1975	05	0
1975	06	0
1975	07	0
1975	08	0
1975	09	0
1975	10	0
1975	11	44
1975	12	93

1976	01	249
1976	02	124
1976	03	115
1976	04	3
1976	05	1
1976	06	0
1976	07	0
1976	08	0
1976	09	0
1976	10	14
1976	11	17
1976	12	121

1977	01	121
1977	02	24
1977	03	137
1977	04	118
1977	05	0
1977	06	0
1977	07	0
1977	08	0
1977	09	0
1977	10	0
1977	11	141
1977	12	270

1978	01	180
1978	02	71
1978	03	18
1978	04	0
1978	05	0
1978	06	0
1978	07	0
1978	08	0
1978	10	0
1978	11	96
1978	12	150

1979	01	240
1979	02	118
1979	03	62
1979	04	50
1979	05	0
1979	06	0
1979	07	0
1979	08	0
1979	09	0
1979	10	0
1979	11	62
1979	12	14

1980	01	73
1980	02	44
1980	03	114
1980	04	74
1980	05	0
1980	06	0
1980	07	0
1980	08	0
1980	09	0
1980	10	0
1980	11	34
1980	12	145

1981	01	23
1981	02	75
1981	03	25
1981	04	0
1981	05	0
1981	06	0
1981	07	0
1981	08	0
1981	09	0
1981	10	10
1981	11	27
1981	12	114

1982	01	280
1982	02	20
1982	03	60
1982	04	29
1982	05	0
1982	06	0
1982	07	0
1982	08	0
1982	09	0
1982	10	0
1982	11	26
1982	12	13

1983	01	85
1983	02	153
1983	03	114
1983	04	6
1983	05	0
1983	06	0
1983	07	0
1983	08	0
1983	09	0
1983	10	0
1983	11	72
1983	12	127

1984	01	105
1984	02	18
1984	03	65
1984	04	0
1984	05	0
1984	06	0
1984	07	0
1984	08	0
1984	09	0
1984	10	0
1984	11	20
1984	12	159

1985	01	138
1985	02	151
1985	03	177
1985	04	62
1985	05	0
1985	06	0
1985	07	0
1985	08	0
1985	09	0
1985	10	0
1985	11	165
1985	12	227

1986	01	68
1986	02	99
1986	03	68
1986	04	5
1986	05	0
1986	06	0
1986	07	0
1986	08	0
1986	09	0
1986	10	0
1986	11	91
1986	12	52

1987	01	78
1987	02	16
1987	03	108
1987	04	16
1987	05	0
1987	06	0
1987	07	0
1987	08	0
1987	09	0
1987	10	0
1987	11	18
1987	12	158

1988	01	206
1988	02	89
1988	03	18
1988	04	4
1988	05	0
1988	06	0
1988	07	0
1988	08	0
1988	09	0
1988	10	0
1988	11	115
1988	12	58

1989	01	15
1989	02	86
1989	03	242
1989	04	3
1989	05	0
1989	06	0
1989	07	0
1989	08	0
1989	09	0
1989	10	16
1989	11	15
1989	12	153

1990	01	107
1990	02	69
1990	03	27
1990	04	27
1990	05	43
1990	06	0
1990	07	0
1990	08	0
1990	09	0
1990	10	0
1990	11	12
1990	12	269

1991	01	88
1991	02	69
1991	03	53
1991	04	75
1991	05	0
1991	06	0
1991	07	0
1991	08	0
1991	09	0
1991	10	0
1991	11	87
1991	12	107

1992	01	43
1992	02	74
1992	03	90
1992	04	28
1992	05	0
1992	06	0
1992	07	0
1992	08	0
1992	09	0
1992	10	12
1992	11	85
1992	12	155

1993	01	118
1993	02	56
1993	03	72
1993	04	72
1993	05	0
1993	06	0
1993	07	0
1993	08	0
1993	09	0
1993	10	0
1993	11	16
1993	12	19

1994	01	300
1994	02	164
1994	03	81
1994	04	36
1994	05	0
1994	06	0
1994	07	0
1994	08	0
1994	09	0
1994	10	0
1994	11	13
1994	12	43

1995	01	98
1995	02	68
1995	03	71
1995	04	19
1995	05	0
1995	06	0
1995	07	0
1995	08	0
1995	09	0
1995	10	0
1995	11	171
1995	12	112

1996	01	315
1996	02	29
1996	03	48
1996	04	100
1996	05	0
1996	06	0
1996	07	0
1996	08	0
1996	09	0
1996	10	0
1996	11	37
1996	12	194

1997	01	172
1997	02	155
1997	03	207
1997	04	3
1997	05	2
1997	06	0
1997	07	0
1997	08	0
1997	09	0
1997	10	2
1997	11	7
1997	12	62

1998	01	242
1998	02	12
1998	03	115
1998	04	21
1998	05	0
1998	06	0
1998	07	0
1998	08	0
1998	09	0
1998	10	0
