STATION,DATE,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:095061,201006,90,0,0,340,0,99,65,933,711,822
COOP:095061,201007,65,0,0,110,0,103,63,956,721,839
COOP:095061,201008,120,0,0,593,0,103,70,928,738,833
COOP:095061,201009,140,0,0,197,0,98,55,905,655,780
COOP:095061,201010,42,0,0,61,0,89,40,817,511,664
COOP:095061,201011,70,0,0,182,0,79,29,699,434,567
COOP:095061,201012,90,0,0,187,0,78,18,533,300,417
COOP:095061,201101,112,-9999,0,466,0,73,19,538,321,430
COOP:095061,201102,105,-9999,0,455,0,80,27,638,401,520
COOP:095061,201103,106,-9999,0,366,0,85,32,714,472,593
COOP:095061,201104,120,-9999,0,158,0,90,37,811,536,674
COOP:095061,201105,19,-9999,0,41,0,97,42,881,588,735
COOP:095061,201106,98,-9999,0,246,0,101,66,960,699,830
COOP:095061,201107,347,-9999,0,693,0,97,69,925,723,824
COOP:095061,201108,113,-9999,0,343,0,100,62,948,715,832
COOP:095061,201109,124,-9999,0,227,0,94,54,861,634,748
COOP:095061,201110,63,-9999,0,261,0,91,36,766,496,631
COOP:095061,201111,30,-9999,0,109,0,86,26,714,464,589
COOP:095061,201112,76,-9999,0,281,0,78,27,644,418,531
COOP:095061,201201,148,-9999,0,318,0,77,19,652,394,523
COOP:095061,201202,206,-9999,0,261,0,81,21,657,445,551
COOP:095061,201203,170,-9999,0,411,0,88,37,793,545,669
COOP:095061,201204,128,-9999,0,245,0,89,39,788,547,668
COOP:095061,201205,148,-9999,0,355,0,94,52,869,633,751
COOP:095061,201206,108,-9999,0,327,0,101,59,873,660,767
COOP:095061,201207,67,-9999,0,357,0,105,69,948,723,836
COOP:095061,201208,130,-9999,0,621,0,95,63,883,705,794
COOP:095061,201209,97,-9999,0,275,0,93,52,866,648,757
COOP:095061,201210,51,-9999,0,86,0,87,39,783,545,664
COOP:095061,201211,90,-9999,0,124,0,86,25,677,418,548
COOP:095061,201212,140,-9999,0,379,0,79,27,647,435,541
COOP:095061,201301,71,-9999,0,191,0,80,29,659,438,548
COOP:095061,201302,297,-9999,0,1288,0,71,24,615,395,505
COOP:095061,201303,163,-9999,0,441,0,77,27,635,394,515
COOP:095061,201304,145,-9999,0,378,0,85,38,758,536,647
COOP:095061,201305,110,-9999,0,246,0,91,44,816,590,703
COOP:095061,201306,262,-9999,0,757,0,95,67,885,702,794
COOP:095061,201307,174,-9999,0,957,0,91,69,869,717,793
COOP:095061,201308,130,-9999,0,718,0,95,62,881,711,796
COOP:095061,201309,106,-9999,0,224,0,93,57,858,670,764
COOP:095061,201310,192,-9999,0,206,0,87,37,777,563,670
COOP:095061,201311,157,-9999,0,399,0,81,26,667,438,552
COOP:095061,201312,231,-9999,0,737,0,79,29,629,431,530
COOP:095061,201401,84,-9999,0,362,0,68,16,530,310,420
COOP:095061,201402,323,-9999,0,658,0,80,27,618,414,516
COOP:095061,201403,215,-9999,0,515,0,79,30,657,434,546
COOP:095061,201404,236,-9999,0,1074,0,84,36,754,533,643
COOP:095061,201405,112,-9999,0,198,0,93,47,836,618,727
COOP:095061,201406,57,-9999,0,268,0,97,64,907,700,804
COOP:095061,201407,61,-9999,0,244,0,96,61,900,707,804
