2001	7	65
2001	8	65
2001	9	48
2001	10	32
2001	11	30

2002	1	19
2002	2	19
2002	3	22
2002	4	43
2002	5	48
2002	6	64
2002	7	68
2002	8	62
2002	9	62
2002	10	43
2002	11	25
2002	12	27

2003	1	13
2003	2	29
2003	3	34
2003	4	37
2003	5	55
2003	6	59
2003	7	71
2003	8	71
2003	9	49
2003	11	27
2003	12	23

2004	1	24
2004	2	26
2004	3	32
2004	4	37
2004	5	47
2004	6	66
2004	7	66
2004	8	63
2004	9	56
2004	10	45
2004	11	34
2004	12	22

2005	1	18
2005	2	29
2005	3	28
2005	4	39
2005	5	49
2005	6	63
2005	7	68
2005	8	70
2005	9	61
2005	10	36
2005	11	31
2005	12	22

2006	1	29
2006	2	25
2006	3	31
2006	4	41
2006	5	49
2006	6	58
2006	7	63
2006	8	70
2006	9	48
2006	10	35
2006	11	32
2006	12	20

2007	1	23
2007	2	21
2007	3	30
2007	4	31
2007	5	48
2007	6	60
2007	7	65
2007	8	71
2007	9	56
2007	10	44
2007	11	29
2007	12	29

2008	1	20
2008	2	24
2008	3	29
2008	4	36
2008	5	48
2008	6	60
2008	7	62
2008	8	63
2008	9	51
2008	10	31
2008	11	24
2008	12	26

2009	1	20
2009	2	17
2009	3	28
2009	4	34
2009	8	61
2009	9	49
2009	10	37
2009	11	32
2009	12	28

2010	1	17
2010	2	24
2010	3	29
2010	4	43
2010	5	52
2010	6	65
2010	7	63
2010	8	70
2010	9	55
2010	10	40
2010	11	29
2010	12	18
